turn,word,meaning
1709,blame,책망하다
1710,blank,공백
1711,blanket,담요
1712,blast,돌풍
1713,blend,혼합하다
1714,bless,축복하다
1715,blind,눈먼
1716,blink,(눈을)깜빡거리다
1717,block,덩어리
1718,blonde,(살결이 흰)금발의 여성
1719,blood,피
1720,bloom,쇳덩이
1721,blossom,(과수의)꽃
1722,blow,강타
1723,blue,푸른
1724,board,널빤지
1725,boat,배
1726,body,신체
1727,boil,끓다
1728,bold,대담한
1729,bomb,폭탄 폭격하다
1730,bond,결속
1731,bone,뼈
1732,book,책
1733,boom,굉음
1734,boost,뒤를 밀기
1735,boot,목이 긴 구두
1736,border,가장자리
1737,bore,고조
1738,borrow,빌다
1739,boss,두목
1740,both,쌍방의
1741,bother,괴롭히다 근심하다 귀찮음
1742,bottle,병
1743,bottom,밑바닥
1744,bounce,뛰어오르다
1745,boundary,경계
1746,bow,절
1747,bowl,사발
1748,boy,소년
1749,brain,뇌
1750,brake,브레이크
1751,branch,가지
1752,brand,상표
1753,brave,용감한
1754,bread,빵
1755,break,부수다
1756,breakfast,아침밥
1757,breast,가슴
1758,breathe,숨쉬다
1759,breed,기르다
1760,breeze,미풍
1761,brew,양조하다
1762,brick,벽돌
1763,bride,신부
1764,bridge,다리
1765,brief,단시간의
1766,bright,밝은
1767,brilliant,빛나는
1768,bring,가져오다
1769,broad,(폭이)넓은
1770,broadcast,방송하다
1771,brother,형제
1772,brown,갈색의 갈색
1773,brush,솔
1774,brute,야수 짐승같은
1775,bubble,거품 거품이 일다
1776,budget,예산
1777,bug,벌레
1778,build,짓다
1779,bulk,부피
1780,bull,황소
1781,bullet,탄환
1782,bully,약한 자를 못살게 구는 자
1783,bump,충돌 부딪치다
1784,bunch,송이
1785,bundle,다발
1786,burden,후렴
1787,burn,시내
1788,burst,파열하다
1789,bury,묻다
1790,bush,덤불
1791,business,직업
1792,busy,바쁜
1793,but,그러나 다만 (-을)제외하고
1794,butcher,정육점주인
1795,button,단추 단추를 채우다 단추로 채워지다
1796,buy,사다
1797,buzz,윙윙거리는 소리
1798,by,곁에
1799,cab,택시
1800,cabin,선실
1801,cable,해저전신
1802,cage,새장
1803,calculate,계산하다
1804,calendar,달력
1805,call,부르다
1806,calm,평온한
1807,can,au-할 수 있다
1808,cancel,취소하다
1809,cancer,암
1810,candidate,지원자
1811,candy,사탕과자
1812,canvas,돛베
1813,cap,모자
1814,capable,할 수 있는
1815,cape,곶
1816,capital,수위의
1817,captain,우두머리(chief)
1818,caption,표제
1819,capture,붙잡다(=catch)
1820,car,자동차
1821,care,걱정
1822,career,경력
1823,carrot,당근
1824,carry,나르다
1825,cart,(2륜)짐마차
1826,carve,조각하다
1827,case,경우
1828,cash,현금 현금으로 바꾸다 현금의
1829,cast,던지다
1830,castle,성
1831,casual,우연한
1832,cat,고양이
1833,catch,붙잡다
1834,category,범주
1835,cater,음식물을 마련하다
1836,cathedral,대성당
1837,cattle,소
1838,causal,원인의
1839,cause,원인
1840,caution,조심
1841,cave,동굴 굴을 파다 꺼지다
1842,cease,그만두다 그치다 중지
1843,ceiling,천장
1844,celebrate,경축하다
1845,celebrity,명성
1846,cell,작은 방
1847,censor,검열관
1848,century,1세기
1849,certain,확신하는
1850,certificate,증명서
1851,chain,사슬
1852,chair,의장
1853,chairman,의장
1854,challenge,도전
1855,chamber,방
1856,chance,우연
1857,change,변화
1858,chaos,혼돈
1859,character,인격
1860,characteristic,특유한
1861,charge,요금
1862,charity,자비
1863,charm,매력
1864,chase,쫓다
1865,chat,잡담
1866,cheap,값싼
1867,check,방해
1868,cheek,볼
1869,cheer,갈채
1870,chef,쿡
1871,chemical,화학의
1872,chemistry,화학
1873,chest,가슴팍
1874,chew,씹다
1875,chief,우두머리
1876,child,아이
1877,chill,차가움
1878,chin,턱(끝) 턱에 대다
1879,chip,(나무)토막
1880,choir,(교회의)성가대
1881,choose,고르다
1882,chop,(도끼 등으로)자르다
1883,chorus,합창
1884,chronic,만성의
1885,church,교회
1886,cigarette,궐련
1887,cinema,영화관
1888,circle,원
1889,circulate,순환하다
1890,circumstance,환경
1891,cite,인용하다(quote)
1892,citizen,시민
1893,city,도시
1894,civil,시민의
1895,claim,요구하다
1896,clap,짝짝
1897,clarify,맑게 하다
1898,clash,충돌하다
1899,class,계급
1900,classic,고전의
1901,classify,분류하다
1902,classroom,교실
1903,clause,조항
1904,clay,찰흙
1905,clean,청결한
1906,clear,맑은
1907,clerk,서기
1908,clever,영리한
1909,client,소송의뢰인
1910,cliff,절벽
1911,climate,기후
1912,climb,기어 오르다
1913,cling,밀착하다
1914,clinic,병원
1915,clip,가위로 자르다
1916,clock,시계
1917,close,닫다
1918,cloth,천
1919,cloud,구름
1920,club,클럽
1921,clue,단서
1922,cluster,떼
1923,coach,역마차
1924,coal,석탄
1925,coast,연안
1926,code,법전
1927,coin,화폐
1928,coincide,일치하다
1929,cold,추운
1930,collaborate,공동으로 일하다
1931,collapse,붕괴
1932,collar,칼라
1933,colleague,동료
1934,collect,모으다
1935,college,단과대학
1936,colony,식민지
1937,color,착색하다
1938,column,(신문 등의)난
1939,combat,격투하다
1940,combine,결합하다
1941,come,오다
1942,comedy,희극
1943,comfort,위안
1944,command,명령하다
1945,commence,시작하다
1946,comment,논평
1947,commerce,상업
1948,commission,위임
1949,commit,위탁하다
1950,committee,위원회
1951,commodity,상품
1952,communicate,알리다
1953,communist,공산주의자
1954,community,공동생활체
1955,companion,동료
1956,company,교제
1957,compare,비교하다
1958,compatible,양립할 수 있는
1959,compel,억지로 -시키다
1960,compensate,배상하다
1961,compete,경쟁하다
1962,competent,능력있는
1963,compile,편찬하다
1964,complain,불평하다
1965,complement,보완하는 것
1966,complete,완성하다
1967,complex,합성물
1968,complicate,복잡하게 하다
1969,component,구성하는 성분
1970,compose,구성하다
1971,compound,성분 등을 혼합하다
1972,comprehensive,이해력있는
1973,comprise,포함하다
1974,compromise,타협 타협하다
1975,compulsory,의무적인
1976,conceal,숨기다
1977,conceive,상상하다
1978,concentrate,집중하다
1979,concept,개념
1980,concern,관계하다
1981,concert,연주회
1982,conclude,결정하다
1983,concrete,구체적인 응고물
1984,condemn,나무라다
1985,condition,조건
1986,conduct,행위 이끌다
1987,confer,주다
1988,confess,실토하다
1989,confident,확신하는
1990,confine,국경
1991,confirm,확인하다
1992,conflict,투쟁
1993,conform,일치시키다
1994,confront,직면하다
1995,confuse,혼란시키다
1996,congratulate,축하하다
1997,congress,회의
1998,connect,잇다 이어지다
1999,conscience,양심
2000,conscious,의식적인
2001,consensus,(의견 등의)일치
2002,consent,승낙하다
2003,conserve,보존하다
2004,consider,숙고하다
2006,consistent,시종일관한
2007,constant,불변의
2008,constitute,구성하다
2009,constrain,강제하다
2010,construct,건조하다
2011,consult,상의하다
2012,consume,소비하다
2013,contact,접촉
2014,contain,내포하다
2015,contemporary,현대의
2016,contend,싸우다
2017,content,만족하여
2018,contest,겨루다
2019,context,문맥
2020,continent,자제심이 있는
2021,continue,계속하다
2022,contract,계약
2023,contradict,반박하다
2024,contrary,반대의 반대 거꾸로
2025,contrast,대조
2026,contribute,기부하다
2027,control,억제하다
2028,controversy,논쟁
2029,convenient,편리한
2030,convention,관례
2031,conversation,회화
2032,convert,바꾸다
2033,convey,나르다
2034,convict,유죄로 판결하다 죄수
2035,convince,확신시키다
2036,cook,요리하다 요리사
2037,cookie,쿠키
2038,cool,서늘한
2039,cooperate,협동하다
2040,coordinate,동격의
2041,cop,순경
2042,cope,코우프(성직자의 긴 겉옷)
2043,copy,사본
2044,copyright,판권
2045,cord,밧줄
2046,core,핵심
2047,corn,티눈
2048,corner,모퉁이
2049,corporate,법인조직의
2050,correct,옳은
2051,correspond,일치하다
2052,corridor,복도
2053,corrupt,타락한
2054,cost,가격
2055,costume,복장
2056,cottage,시골집
2057,cotton,목화
2058,couch,침대
2059,cough,기침 기침을 하다 기침을 하여 -을 뱉어내다
2060,could,aucan의 과거
2061,council,회의
2062,counsel,의논
2063,count,계산
2064,counter,계산하는 사람
2065,counterpart,부본
2066,country,나라
2067,countryside,시골
2068,county,주
2069,couple,한 쌍
2070,courage,용기
2071,cousin,사촌
2072,cover,덮다
2073,cow,위협하다 암소
2074,cowboy,목동
2075,crack,찰싹 소리내다 금가다 날카로운소리
2076,craft,솜씨
2077,crash,도산
2078,crawl,네발로 기다
2079,crazy,미친
2080,create,창조하다
2081,creature,창조물
2082,credible,믿을 수 있는
2083,credit,신용
2084,creek,시내
2085,creep,기다
2086,crew,승무원
2087,cricket,크리켓
2088,crime,범죄
2089,criminal,죄의
2090,crisis,위기
2091,crisp,파삭파삭한
2092,criteria,criterion의 복수형
2093,critic,비평가
2094,criticize,비평하다
2095,criticism,비평
2096,crop,수확
2097,cross,십자형
2098,crowd,군중
2099,crown,왕관
2100,crucial,결정적인
2101,cruel,잔인한
2102,cruise,순항하다
2103,crush,눌러 부수다
2104,cry,소리치다
2105,crystal,수정
2106,cultivate,경작하다
2107,culture,문화
2108,cupboard,찬장
2109,cure,치료
2110,curious,이상스러운
2111,curl,곱슬머리 머리털을 지지다
2112,currency,통용
2113,current,유행의
2114,curriculum,과목
2115,curry,카레요리 카레로 맛을 내다
2116,curse,저주
2117,curtain,커어튼
2118,curve,곡선
2119,custody,보호
2120,custom,습관
2121,customer,고객
2122,cut,베다
2123,cute,귀여운
2124,cycle,순환
2125,cynical,냉소적인
2126,dad,아빠
2127,dairy,낙농장
2128,dam,댐
2129,damage,손해
2130,damp,축축한 습기 적시다
2131,dance,댄스
2132,danger,위험
2133,dare,au감히 -하다
2134,dark,어두운
2135,darling,귀여운
2136,dash,돌진
2137,database,데이터베이스
2138,date,날짜
2139,daughter,딸
2140,dawn,새벽 날이 새다
2141,day,낮
2142,dead,죽은
2143,deal,양
2144,death,죽음
2145,debate,토론 토론하다
2146,debt,빚
2147,decade,10년간
2148,decay,쇠퇴하다
2149,decent,점잖은
2150,decide,결정하다
2151,decision,결정
2152,deck,갑판
2153,declare,선언하다
2154,decline,기울다
2155,decorate,장식하다
2156,decrease,감소하다
2157,dedicate,봉납하다
2158,deep,깊은
2159,defeat,패배
2160,defense,방어
2161,defend,방어하다
2162,defendant,피고 피고의
2163,deficiency,결핍
2164,deficit,결손
2165,define,정의하다
2166,definite,일정한
2167,degrade,지위를 낮추다
2168,degree,도
2169,delay,늦추다
2170,delegate,파견하다
2171,delete,삭제하다
2172,deliberate,숙고하다
2173,delicate,미묘한
2174,delicious,맛있는
2175,delight,즐겁게하다 즐거워하다
2176,deliver,인도하다
2177,demand,요구하다
2178,democracy,민주주의
2179,democrat,민주주의자
2180,demon,악마
2181,demonstrate,증명하다
2182,dense,짙은
2183,dentist,치과의사
2184,deny,부정하다
2185,department,부
2186,departure,출발
2187,depend,좌우되다
2188,dependence,종속
2189,depict,묘사하다
2190,deposit,예금
2191,depress,억압하다
2192,deprive,빼앗다
2193,derive,이끌어 내다
2194,descend,내려오다
2195,describe,기술하다
2196,description,서술
2197,desert,버리다
2198,deserve, -할 만하다
2199,design,디자인
2200,designate,가리키다
2201,desire,바라다
2202,desk,책상
2203,despair,절망하다
2204,desperate,절망적인
2206,destination,목적지
2207,destiny,운명
2208,destroy,파괴하다
2209,destruction,파괴
2210,detach,분리하다
2211,detail,상설
2212,detect,간파하다
2213,determine,결정하다
2214,develop,발달하다
2215,device,고안
2216,devil,악마
2217,devise,고안하다
2218,devote,바치다
2219,diabetes,당뇨병
2220,dialogue,대화
2221,diary,일기
2222,dictate,받아쓰게 하다
2223,dictionary,사전
2224,die,죽다
2225,different,다른
2226,difficult,곤란한
2227,dig,파다
2228,dignity,위엄
2229,dimension,치수
2230,diminish,감소하다
2231,dine,저녁식사를 하다
2232,dinner,정찬
2233,dip,담그다
2234,diplomat,외교관
2235,direct,지도하다
2236,dirty,더러운
2237,disabled,불구가 된
2238,disadvantage,불리
2239,disagree,일치하지 않다
2240,disappear,안보이게 되다
2241,disappoint,실망시키다
2242,disaster,천재
2243,discharge,짐을부리다
2244,discipline,훈련
2245,disclose,나타내다
2246,discount,할인
2247,discourse,강연
2248,discover,발견하다
2249,discriminate,분별하다
2250,discuss,토론하다
2251,disease,병
2252,disgust,불쾌하게 하다
2253,dish,접시
2254,dismiss,떠나게 하다
2255,disorder,난잡
2256,displace,바꾸어놓다
2257,display,보이다
2258,dispose,배열하다
2259,dispute,논쟁하다
2260,disrupt,분열시키다
2261,distant,떨어진
2262,distort,찌그러뜨리다
2263,distract,전환시키다
2264,distribute,분배하다
2265,district,지구
2266,disturb,교란하다
2267,dive,뛰어들다
2268,diverse,다양한
2269,divide,나누다
2270,divine,신의
2271,divorce,이혼
2272,do,하다
2273,doctor,박사
2274,document,서류
2275,dog,개
2276,doll,인형
2277,dolphin,돌고래
2278,domain,영토
2279,domestic,가정의
2280,dominant,우세한
2281,donate,증여하다
2282,door,문
2283,dose,1회복용량 투약하다
2284,dot,점
2285,double,2배의
2286,doubt,의심
2287,down,아래로
2288,dozen,1다스
2289,draft,초고
2290,drag,끌다
2291,drain,배수하다
2292,draw,당기다
2293,drawer,제도사
2294,dread,두려워하다 두려움
2295,dream,꿈
2296,drink,마시다
2297,drive,운전하다
2298,drop,방울
2299,drown,물에빠뜨리다
2300,drug,약제
2301,dry,마른
2302,dual,둘의
2303,duck,머리를 물 속에 쑥 쳐박다
2304,due,지급기일이 된
2305,dull,둔한
2306,dump,내버리다
2308,dust,먼지
2309,duty,의무
2310,dwell,거주하다
2311,dynamic,동적인
2312,each,각각의
2313,eager,열심인
2314,ear,귀
2315,early,이른
2316,earn,일하여 벌다
2317,earth,지구
2318,ease,안락
2319,east,동쪽 동쪽의 동쪽으로
2320,easy,쉬운
2321,eat,먹다
2322,economy,절약
2323,edge,끝머리
2324,edit,편집하다
2325,educate,교육하다
2326,effect,결과
2327,effective,효과적인
2328,efficient,능률적인
2329,effort,노력
2330,egg,알
2331,either,어느 하나의
2332,elaborate,공들인
2333,elect,선거하다
2334,electric,전기의
2335,electronic,전자(학)의
2336,elegant,우아한
2337,element,요소
2338,elementary,기본의
2339,elephant,코끼리
2340,eliminate,제거하다
2341,else,그 밖에
2342,embarrass,난처하게 하다
2343,embassy,대사관
2344,embrace,포옹하다
2345,emerge,나오다
2346,emergency,비상사태
2347,emit,방사하다
2348,emotion,감정
2349,emphasis,강조
2350,empire,제국
2351,employ,고용하다
2352,empty,빈
2353,enclose,에워싸다
2354,encounter,조우
2355,encourage,용기를 돋우다
2356,end,끝
2357,endure,견디다
2358,enemy,적
2359,enforce,실시하다
2360,engage,약속하다
2361,engine,엔진
2362,engineer,기사
2363,enhance,향상하다
2364,enjoy,즐기다
2365,enormous,거대한
2366,enough,충분한
2367,enroll,명부에 올리다
2369,enter,들어가다
2370,enterprise,기획
2371,entertain,즐겁게 하다
2372,enthusiastic,열심인
2373,entire,전체의
2374,entitle,자격을 주다
2375,entry,들어감
2376,envelope,봉투
2377,environment,환경
2378,envy,질투
2379,episode,삽화
2380,equal,같은
2381,equate,같게하다
2382,equipment,장비
2383,era,시대
2384,eraser,지우는 사람
2385,erect,똑바로 선
2386,error,잘못
2387,escape,도망하다
2388,escort,호위하다
2389,especially,특히
2390,essential,본질적인
2391,establish,확립하다
2392,estate,토지
2393,estimate,어림잡다
2394,etc,등등
2395,ethical,도덕상의
2396,ethnic,인종의
2397,evacuate,비우다
2398,evaluate,평가하다
2399,eve,"저녁, 밤"
2401,evening,저녁
2402,eventually,결국
2403,ever,이전에
2404,every,모든
2405,evident,명백한
2406,evil,사악한
2407,evolution,진화
2408,evolve,진화하다
2409,exact,정확한
2410,exaggerate,과장하다
2411,exam,시험
2412,examine,시험하다
2413,example,보기
2414,exceed,넘다
2415,excellent,우수한
2417,excess,초과
2418,exchange,교환하다
2419,excite,흥분시키다
2420,exclude,배척하다
2421,exclusive,배타적인
2422,excuse,변명
2423,executive,집행의
2424,exercise,운동
2425,exhaust,다 써버리다
2426,exhibit,보이다
2427,exist,존재하다
2428,exit,출구
2429,exotic,외국의
2430,expand,펴다
2431,expect,기대하다
2432,expense,지출
2433,expensive,비용이 드는
2434,experience,경험
2435,experiment,실험
2436,expert,숙련가
2437,expertise,대가의 의견
2438,explain,설명하다
2439,explicit,명백한
2440,explode,폭발시키다
2441,explore,탐험하다
2442,export,수출하다 수출
2443,expose,"쐬다, 드러내다, 맞히다"
2444,express,발표하다
2445,extend,뻗다
2446,extent,넓이
2447,external,외부의
2448,extinct,꺼진
2449,extra,가외의
2450,extract,뽑아내다
2451,extraordinary,이상한
2452,extreme,극단의
2453,eye,눈
2454,eyebrow,눈썹
2455,fabric,천
2456,face,얼굴
2457,facilitate,쉽게하다
2458,facility,쉬움
2459,fact,사실
2460,factor,요소
2461,factory,공장
2462,faculty,능력
2463,fade,바래다
2464,fail,실패하다
2465,faint,기절하다
2466,fair,공평한
2467,faith,신용
2468,fall,떨어지다
2469,FALSE,거짓
2470,fame,명성
2471,familiar,친한
2472,family,가족
2473,famous,유명한
2474,fan,(영화 등의)팬
2475,fancy,공상
2476,fantastic,환상적인
2477,far,멀리
2478,fare,요금
2479,farm,농장
2480,fascinate,황홀케 하다
2481,fast,빠른
2482,fasten,단단히 고정시키다
2483,fat,살찐
2484,fatal,치명적인
2485,fate,숙명
2486,father,아버지
2487,fault,결점
2488,favor,호의
2489,favorite,마음에 드는 좋아하는 물건
2490,fear,두려움
2491,feature,얼굴의 생김새
2492,federal,연방의
2493,fee,요금
2494,feed,음식(먹이)을 주다
2495,feel,만져보다
2496,fellow,동무
2497,female,여성
2498,ferry,나루터
2499,fertile,비옥한
2500,fever,열
2501,few,소수의
2502,fiber,섬유
2503,field,들
2504,fierce,흉포한
2505,fight,싸움
2506,figure,모습
2507,file,종이끼우개
2508,fill,가득 채우다
2509,filter,여과기 여과하다
2510,final,최후의
2511,finance,재정
2512,find,발견하다
2513,fine,훌륭한
2514,finger,손가락 손가락을 대다
2515,finish,끝내다
2516,finite,한정되어 있는
2517,fire,불
2518,firm,굳은
2519,fish,물고기
2520,fist,주먹
2521,fit,맞는
2522,fix,고정시키다
2523,flag,기
2524,flame,불꽃
2525,flash,번쩍임
2526,flat,편평한
2527,flavor,(독특한)맛
2528,flaw,금
2529,flee,달아나다
2530,flesh,살
2531,flexible,구부리기 쉬운
2532,flight,날기
2533,flip,튀기다 홱 움직이다 튀기기
2534,float,뜨다
2535,flock,무리
2536,flood,홍수
2537,floor,마룻바닥
2538,flourish,번창하다
2539,flow,흐르다
2540,flower,꽃
2541,fluid,유동성의
2542,flush,왈칵흐르다
2543,fly,날다
2544,focus,초점
2545,fog,안개
2546,fold,주름
2547,folk,사람들
2548,follow,쫓다
2549,fond,좋아하는
2550,food,음식
2551,fool,바보
2552,foot,발
2553,football,축구
2554,for,대신에
2555,forbid,금하다
2556,force,힘
2557,forecast,예상
2558,forehead,이마
2559,foreign,외국의
2560,forest,숲
2561,forever,영원히
2562,forget,잊다
2563,forgive,용서하다
2564,form,모양
2565,formal,형식상의
2566,format,(서적의)체제
2567,formation,형성
2568,former,이전의
2569,formula,공식
2570,forth,앞으로
2571,fortunate,운좋은
2572,fortune,운
2573,forum,공개토론회
2574,forward,앞쪽에
2575,foster,기르다
2576,foundation,기초
2577,fountain,샘
2578,fox,교활한 사람
2579,fraction,분수
2580,frame,구조
2581,framework,뼈대
2582,frankly,솔직히
2583,free,자유로운
2584,freeze,얼다
2585,frequent,빈번한
2586,fresh,새로운
2587,friend,친구
2588,fright,(갑자기 엄습하는)공포
2589,frog,개구리
2590,from,"(분리,이탈,출발점,기점)-로 부터"
2591,front,정면
2592,frost,서리
2593,frown,눈살을 찌푸리다
2594,fruit,과일
2595,frustrate,(계획 등을)좌절시키다
2596,fry,기름으로 튀기다
2597,fuel,연료
2598,fulfil,이행하다
2599,full,가득찬
2600,fun,즐거운 생각
2601,function,기능
2602,fund,기금
2603,fundamental,기초(기준)의
2604,funeral,장사
2605,fur,모피
2606,furious,노하여 펄펄뛰는
2607,furnish,공급하다
2608,furniture,가구
2609,furthermore,더우기
2610,fuse,신관
2611,future,미래
2612,gain,얻다
2613,gamble,도박하다 도박 도박해서 잃다
2614,gang,한 떼
2615,gap,갈라진 틈
2616,garage,차고
2617,garden,뜰
2618,gasoline,가솔린
2619,gate,문
2620,gather,그러모으다
2621,gaze,지켜보다
2622,gear,톱니바퀴
2623,gender,성
2624,gene,유전(인)자
2625,general,일반적인
2626,generate,낳다
2627,generation,일대
2628,generous,광대한
2629,genius,천재
2630,genre,유형
2631,gentle,온화한
2632,gentleman,신사
2633,genuine,진짜의
2634,geography,지리
2635,geology,지질학
2636,gesture,몸짓
2637,get,얻다
2638,ghost,유령
2639,giant,거인
2640,gift,선물
2641,giraffe,기린
2642,girl,소녀
2643,give,주다
2644,glad,기쁜
2645,glance,흘긋 봄
2646,glare,번쩍이는 빛
2647,glass,유리
2648,glimpse,흘끗 봄
2649,global,공모양의
2650,glory,영광
2651,glove,장갑
2652,glow,타다
2653,glue,아교
2654,go,가다
2655,goal,결승점
2656,goat,염소
2657,god,신
2658,gold,금
2659,good,좋은
2660,goodbye,안녕히 가세요
2661,goods,상품
2662,gorgeous,호화로운
2663,govern,다스리다
2664,grab,붙잡다(=snatch)
2665,grace,은총
2666,grade,등급
2667,gradual,점차적인
